Unnamed: 0,Reaction ID,Reaction (Long),Reaction (short),Reversible,Gene,Enzyme,Subsystem,TurnoverNumber
,R00220,L-Serine = Pyruvate + NH3,C00065 <=> C00022 + C00014,False,complement(NZ_AEYC01000017.1:9868..11079) or NZ_AEYC01000006.1:124335..125588,4.3.1.17        4.3.1.19,rn00260,
,R00253,ATP + L-Glutamate + NH3 = ADP + Orthophosphate + L-Glutamine,C00002 + C00025 + C00014 <=> C00008 + C00009 + C00064,False,,6.3.1.2,rn00250 rn00330 rn00910,3
,R00254,N-Carbamyl-L-glutamate + H2O = L-Glutamate + NH3 + CO2,C05829 + C00001 <=> C00025 + C00014 + C00011,False,,3.5.1.87,not exist,
,R00257,ATP + Deamino-NAD+ + L-Glutamine + H2O = AMP + Diphosphate + NAD++ L-Glutamate,C00002 + C00857 + C00064 + C00001 <=> C00020 + C00013 + C00003 +C00025,False,,6.3.5.1,rn00760,0.15
,R00264,"2,5-Dioxopentanoate + NADP+ + H2O = 2-Oxoglutarate + NADPH + H+",C00433 + C00006 + C00001 <=> C00026 + C00005 + C00080,True,,1.2.1.3         1.2.1.26,rn00040,
,R00272,2-Oxoglutarate = Succinate semialdehyde + CO2,C00026 <=> C00232 + C00011,False,kgd,4.1.1.71,not exist,1.2
,R00275,2 O2.- + 2 H+ = H2O2 + Oxygen,2 C00704 + 2 C00080 <=> C00027 + C00007,True,,1.15.1.1,not exist,100000
,R00277,Pyridoxamine phosphate + H2O + Oxygen = Pyridoxal phosphate + NH3+ H2O2,C00647 + C00001 + C00007 <=> C00018 + C00014 + C00027,False,,1.4.3.5,rn00750,
,R00278,Pyridoxine phosphate + Oxygen = H2O2 + Pyridoxal phosphate,C00627 + C00007 <=> C00027 + C00018,False,,1.4.3.5,rn00750,
,R00286,UDP-glucose + H2O + 2 NAD+ = UDP-glucuronate + 2 NADH + 2 H+,C00029 + C00001 + 2 C00003 <=> C00167 + 2 C00004 + 2 C00080,True,,1.1.1.22,rn00040 rn00053 rn00520 rn00500,0.127
,R00306,Cellobiose + H2O = 2 D-Glucose,C00185 + C00001 <=> 2 C00031,False,,3.2.1.21        3.2.1.74,rn00500,
,R00310,Protoporphyrin + Fe2+ = Heme + 2 H+,C02191 + C14818 <=> C00032 + 2 C00080,True,hemH,4.99.1.1,rn00860,
,R00321,Acetamide + H2O = Acetate + NH3,C06244 + C00001 <=> C00033 + C00014,False,NZ_AEYC01000007.1:118125..119327 or NZ_AEYC01000007.1:108023..108523,3.5.1.4,not exist,0.143
,R00335,GTP + H2O = GDP + Orthophosphate,C00044 + C00001 <=> C00035 + C00009,False,,3.6.1.5         3.6.5.1         3.6.5.2         3.6.5.3         ,not exist,
,R00354,Acetyl-CoA + Oxaloacetate = (3S)-Citryl-CoA,C00024 + C00036 <=> C00566,False,,4.1.3.34,rn00720,
,R00357,L-Aspartate + H2O + Oxygen = Oxaloacetate + NH3 + H2O2,C00049 + C00001 + C00007 <=> C00036 + C00014 + C00027,False,,1.4.3.2         1.4.3.16,rn00250,
,R00366,Glycine + H2O + Oxygen = Glyoxylate + NH3 + H2O2,C00037 + C00001 + C00007 <=> C00048 + C00014 + C00027,False,,1.4.3.3         1.4.3.19,rn00730,
,R00371,Acetyl-CoA + Glycine = CoA + L-2-Amino-3-oxobutanoic acid,C00024 + C00037 <=> C00010 + C03508,False,complement(NZ_AEYC01000001.1:45678..46865),2.3.1.29,rn00260,
,R00372,Glycine + 2-Oxoglutarate = Glyoxylate + L-Glutamate,C00037 + C00026 <=> C00048 + C00025,True,,2.6.1.4         2.6.1.44,rn00260,
,R00418,UDP-N-acetyl-D-glucosamine = UDP-N-acetyl-D-galactosamine,C00043 <=> C00203,True,,5.1.3.2         5.1.3.7,rn00520,
,R00424,"GTP + H2O =2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate + Formate",C00044 + C00001 <=> C04895 + C00058,True,,3.5.4.16,rn00790,0.000265
,R00425,"GTP + 3 H2O = Formate +2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone + Diphosphate",C00044 + 3 C00001 <=> C00058 + C01304 + C00013,False,,3.5.4.25,rn00740,0.0033
,R00428,GTP + H2O = Formamidopyrimidine nucleoside triphosphate,C00044 + C00001 <=> C05922,False,,3.5.4.16,rn00790,0.000265
,R00429,ATP + GTP = AMP + Guanosine 3'-diphosphate 5'-triphosphate,C00002 + C00044 <=> C00020 + C04494,False,,2.7.6.5,rn00230,0.4
,R00434,"GTP = 3',5'-Cyclic GMP + Diphosphate",C00044 <=> C00942 + C00013,False,,4.6.1.1         4.6.1.2,rn00230,
,R00457,L-Lysine + 2-Oxoglutarate = L-2-Aminoadipate 6-semialdehyde +L-Glutamate,C00047 + C00026 <=> C04076 + C00025,True,complement(NZ_AEYC01000096.1:79272..80639),2.6.1.36,not exist,0.917
,R00470,4-Hydroxy-2-oxoglutarate = Pyruvate + Glyoxylate,C01127 <=> C00022 + C00048,True,,4.1.3.16,rn00630,0.8
,R00471,D-4-Hydroxy-2-oxoglutarate = Pyruvate + Glyoxylate,C05946 <=> C00022 + C00048,True,,4.1.1.3         4.1.2.14        4.1.3.16,rn00330,
,R00475,Glycolate + Oxygen = Glyoxylate + H2O2,C00160 + C00007 <=> C00048 + C00027,False,,1.1.3.15,rn00630,0.33
,R00481,L-Aspartate + Oxygen = Iminoaspartate + H2O2,C00049 + C00007 <=> C05840 + C00027,False,,1.4.3.16,rn00760,0.0333
,R00489,L-Aspartate = beta-Alanine + CO2,C00049 <=> C00099 + C00011,False,,4.1.1.11        4.1.1.15,rn00410  rn00770,
,R00490,L-Aspartate = Fumarate + NH3,C00049 <=> C00122 + C00014,False,,3.5.1.38        4.3.1.1,rn00250  rn00910,
,R00491,L-Aspartate = D-Aspartate,C00049 <=> C00402,True,,5.1.1.13,rn00250,0.0228
,R00494,Glutathione + H2O = Cys-Gly + L-Glutamate,C00051 + C00001 <=> C01419 + C00025,False,,2.3.2.2         3.4.19.13,rn00480,
,R00505,"UDP-D-galactose = UDP-alpha-D-galacto-1,4-furanose",C00052 <=> C03733,True,,5.4.99.9,not exist,
,R00513,ATP + Cytidine = ADP + CMP,C00002 + C00475 <=> C00008 + C00055,False,,2.7.1.48,rn00240,0.0028
,R00516,UTP + Cytidine = UDP + CMP,C00075 + C00475 <=> C00015 + C00055,False,,2.7.1.48,rn00240,0.0028
,R00517,GTP + Cytidine = GDP + CMP,C00044 + C00475 <=> C00035 + C00055,False,,2.7.1.48,rn00240,0.0028
,R00519,Formate + NAD+ = H+ + CO2 + NADH,C00058 + C00003 <=> C00080 + C00011 + C00004,False,,1.2.1.2,rn00630  rn00680,
,R00524,Formamide + H2O = Formate + NH3,C00488 + C00001 <=> C00058 + C00014,False,,3.5.1.49,rn00630,60.7
,R00549,ATP + Riboflavin = ADP + FMN,C00002 + C00255 <=> C00008 + C00061,False,,2.7.1.26,rn00740,0.042
,R00551,L-Arginine + H2O = L-Ornithine + Urea,C00062 + C00001 <=> C00077 + C00086,False,,3.5.3.1,rn00330,0.013
,R00552,L-Arginine + H2O = L-Citrulline + NH3,C00062 + C00001 <=> C00327 + C00014,False,complement(NZ_AEYC01000074.1:53965..55167),3.5.3.6,rn00330,0.0041
,R00557,2 L-Arginine + 4 Oxygen + 3 NADPH + 3 H+ = 2 Nitric oxide + 2L-Citrulline + 3 NADP+ + 4 H2O,2 C00062 + 4 C00007 + 3 C00005 + 3 C00080 <=> 2 C00533 + 2 C00327 +3 C00006 + 4 C00001,False,,1.14.13.39,rn00330,1.08
,R00558,L-Arginine + Oxygen + NADPH + H+ = N-(omega)-Hydroxyarginine +NADP+ + H2O,C00062 + C00007 + C00005 + C00080 <=> C05933 + C00006 + C00001,False,,1.14.13.39,rn00330,1.08
,R00565,L-Arginine + Glycine = L-Ornithine + Guanidinoacetate,C00062 + C00037 <=> C00077 + C00581,True,,2.1.4.1,rn00260  rn00330,875
,R00602,Methanol + H2O2 = Formaldehyde + 2 H2O,C00132 + C00027 <=> C00067 + 2 C00001,False,,1.11.1.6        1.11.1.7        1.11.1.21,rn00680,
,R00610,Sarcosine + H2O + Oxygen = Glycine + Formaldehyde + H2O2,C00213 + C00001 + C00007 <=> C00037 + C00067 + C00027,False,,1.5.3.1,rn00260,0.001
,R00647,L-xylo-Hexulonolactone = Ascorbate,C03289 <=> C00072,False,,1.1.3.8,rn00053,
,R00654,L-Methionine + H2O = Methanethiol + NH3 + 2-Oxobutanoate,C00073 + C00001 <=> C00409 + C00014 + C00109,False,,4.4.1.11,rn00270,-999
,R00668,"L-Ornithine + 2-Oxoglutarate =3,4-Dihydro-2H-Pyrrole-2-carboxylate + L-Glutamate + H2O",C00077 + C00026 <=> C04322 + C00025 + C00001,True,,2.6.1.13        2.6.1.68,not exist,
,R00670,L-Ornithine = Putrescine + CO2,C00077 <=> C00134 + C00011,False,,4.1.1.17,rn00330 rn00480,0.003
,R00673,L-Tryptophan + H2O = Indole + Pyruvate + NH3,C00078 + C00001 <=> C00463 + C00022 + C00014,False,tnaA,4.1.99.1,rn00380,0.009
,R00678,L-Tryptophan + Oxygen = L-Formylkynurenine,C00078 + C00007 <=> C02700,False,,1.13.11.11      1.13.11.52,rn00380,
,R00685,L-Tryptophan = Tryptamine + CO2,C00078 <=> C00398 + C00011,False,,4.1.1.28,rn00380  rn00901,
,R00691,L-Arogenate = L-Phenylalanine + H2O + CO2,C00826 <=> C00079 + C00001 + C00011,False,,4.2.1.51        4.2.1.91,rn00400,
,R00698,L-Phenylalanine + Oxygen = 2-Phenylacetamide + CO2,C00079 + C00007 <=> C02505 + C00011,False,,1.11.1.7        1.11.1.21,rn00360,
,R00699,L-Phenylalanine = Phenethylamine + CO2,C00079 <=> C05332 + C00011,False,,4.1.1.28        4.1.1.53,rn00360,
,R00705,3-Oxopropanoate + CoA + NAD+ = Acetyl-CoA + CO2 + NADH + H+,C00222 + C00010 + C00003 <=> C00024 + C00011 + C00004 + C00080,False,,1.2.1.18        1.2.1.27,rn00410  rn00562  rn00640,
,R00713,Succinate semialdehyde + NAD+ + H2O = Succinate + NADH + H+,C00232 + C00003 + C00001 <=> C00042 + C00004 + C00080,True,gabD,1.2.1.16        1.2.1.24,rn00250  rn00350  rn00650,
,R00715,"N6-(L-1,3-Dicarboxypropyl)-L-lysine + NAD+ + H2O = L-Lysine +2-Oxoglutarate + NADH + H+",C00449 + C00003 + C00001 <=> C00047 + C00026 + C00004 + C00080,True,,1.5.1.7,rn00300  rn00310,
,R00720,ITP + H2O = IMP + Diphosphate,C00081 + C00001 <=> C00130 + C00013,False,,3.6.1.8         3.6.1.19,rn00230,
,R00722,ATP + IDP = ADP + ITP,C00002 + C00104 <=> C00008 + C00081,False,complement(NZ_AEYC01000019.1:316021..316419),2.7.4.6,rn00230,232
,R00724,IDP + Phosphoenolpyruvate = ITP + Pyruvate,C00104 + C00074 <=> C00081 + C00022,False,,2.7.1.40,not exist,131
,R00736,L-Tyrosine = Tyramine + CO2,C00082 <=> C00483 + C00011,False,,4.1.1.25        4.1.1.28,rn00350  rn00950,
,R00754,Ethanol + NAD+ = Acetaldehyde + NADH + H+,C00469 + C00003 <=> C00084 + C00004 + C00080,True,,1.1.1.1         1.1.1.71,rn00010,
,R00760,ATP + D-Fructose = ADP + D-Fructose 6-phosphate,C00002 + C00095 <=> C00008 + C00085,False,,2.7.1.1         2.7.1.4,rn00051 rn00500 rn00520,
,R00765,D-Glucosamine 6-phosphate + H2O = D-Fructose 6-phosphate + NH3,C00352 + C00001 <=> C00085 + C00014,False,,3.5.99.6,rn00520,0.044
,R00772,D-Mannose 6-phosphate = D-Fructose 6-phosphate,C00275 <=> C00085,True,,5.3.1.8,rn00051 rn00520,0.076
,R00782,L-Cysteine + H2O = Hydrogen sulfide + Pyruvate + NH3,C00097 + C00001 <=> C00283 + C00022 + C00014,False,NZ_AEYC01000001.1:311535..312641,4.4.1.1         4.4.1.8,rn00270,
,R00787,Nitrite + 3 NADH + 3 H+ = NH4OH + 3 NAD+ + H2O,C00088 + 3 C00004 + 3 C00080 <=> C01358 + 3 C00003 + C00001,False,,1.7.1.4,rn00910,
,R00789,Nitrite + 3 NADPH + 3 H+ = NH4OH + 3 NADP+ + H2O,C00088 + 3 C00005 + 3 C00080 <=> C01358 + 3 C00006 + C00001,False,,1.7.1.4,rn00910,
,R00794,Nitrite + NAD+ + H2O = Nitrate + NADH + H+,C00088 + C00003 + C00001 <=> C00244 + C00004 + C00080,True,,1.7.1.1         1.7.1.2,rn00910,
,R00801,Sucrose + H2O = D-Fructose + D-Glucose,C00089 + C00001 <=> C00095 + C00031,False,,3.2.1.10        3.2.1.20        3.2.1.48,rn00052,
,R00817,"Catechol + Oxygen = cis,cis-Muconate",C00090 + C00007 <=> C02480,False,,1.13.11.1,rn00362,2
,R00818,Salicylate + Oxygen + NADH + H+ = Catechol + CO2 + NAD+ + H2O,C00805 + C00007 + C00004 + C00080 <=> C00090 + C00011 + C00003 +C00001,False,,1.14.13.1,rn00621  rn00624  rn00626,0.0783
,R00829,Succinyl-CoA + Acetyl-CoA = CoA + 3-Oxoadipyl-CoA,C00091 + C00024 <=> C00010 + C02232,False,,2.3.1.16        2.3.1.174,rn00362,
,R00833,(R)-Methylmalonyl-CoA = Succinyl-CoA,C01213 <=> C00091,True,complement(NZ_AEYC01000005.1:18703..19707),5.4.99.2,rn00280  rn00630  rn00640  rn00720,0.012
,R00836,"UDP-glucose + D-Glucose 6-phosphate = UDP + alpha,alpha'-Trehalose6-phosphate",C00029 + C00092 <=> C00015 + C00689,False,,2.4.1.15,rn00500,5.89
,R00839,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose + H2O = D-Glucose +D-Glucose 6-phosphate",C04534 + C00001 <=> C00031 + C00092,False,,3.2.1.86,not exist,
,R00847,ATP + Glycerol = ADP + sn-Glycerol 3-phosphate,C00002 + C00116 <=> C00008 + C00093,False,,2.7.1.30,rn00561,4.02
,R00848,sn-Glycerol 3-phosphate + FAD = Glycerone phosphate + FADH2,C00093 + C00016 <=> C00111 + C01352,True,,1.1.5.3,rn00564,
,R00856,CTP + sn-Glycerol 3-phosphate = Diphosphate + CDP-glycerol,C00063 + C00093 <=> C00013 + C00513,False,,2.7.7.39,rn00564,0.001
,R00872,D-Fructose 2-phosphate + H2O = D-Fructose + Orthophosphate,C03267 + C00001 <=> C00095 + C00009,False,,3.1.3.-,rn00051,
,R00885,GTP + D-Mannose 1-phosphate = Diphosphate + GDP-mannose,C00044 + C00636 <=> C00013 + C00096,False,,2.7.7.13,rn00051  rn00520,
,R00894,ATP + L-Glutamate + L-Cysteine = ADP + Orthophosphate +gamma-L-Glutamyl-L-cysteine,C00002 + C00025 + C00097 <=> C00008 + C00009 + C00669,False,,6.3.2.2,rn00480,0.0053
,R00899,Cys-Gly + H2O = L-Cysteine + Glycine,C01419 + C00001 <=> C00097 + C00037,False,,3.4.11.1        3.4.11.2        3.4.11.23       3.4.13.-,rn00480,
,R00900,L-Cysteine + Glutathione + NADP+ = S-Glutathionyl-L-cysteine +NADPH,C00097 + C00051 + C00006 <=> C05526 + C00005,True,,1.8.1.9         1.8.1.10,rn00270 ,
,R00904,3-Aminopropanal + NAD+ + H2O = beta-Alanine + NADH + H+,C05665 + C00003 + C00001 <=> C00099 + C00004 + C00080,True,,1.2.1.3         1.2.1.5         1.2.1.19,not exist,
,R00908,beta-Alanine + 2-Oxoglutarate = 3-Oxopropanoate + L-Glutamate,C00099 + C00026 <=> C00222 + C00025,True,,2.6.1.19        2.6.1.55,rn00410  rn00640,
,R00918,Propanoyl-CoA + 6 (S)-Methylmalonyl-CoA + 6 NADPH + 6 H+ =6-Deoxyerythronolide B + 7 CoA + 6 CO2 + H2O + 6 NADP+,C00100 + 6 C00683 + 6 C00005 + 6 C00080 <=> C03240 + 7 C00010 + 6 C00011 + C00001 + 6 C00006,False,,2.3.1.94,rn00522,0.0067
,R00922,2-Methyl-3-oxopropanoate + CoA + NAD+ = Propanoyl-CoA + CO2 + NADH+ H+,C00349 + C00010 + C00003 <=> C00100 + C00011 + C00004 + C00080,False,,1.2.1.27,not exist,0.003
,R00925,ATP + Propanoate + CoA = AMP + Diphosphate + Propanoyl-CoA,C00002 + C00163 + C00010 <=> C00020 + C00013 + C00100,False,NZ_AEYC01000066.1:96373..98328 or complement(NZ_AEYC01000030.1:89420..91402),6.2.1.1         6.2.1.17,rn00640,
,R00926,Propionyladenylate + CoA = AMP + Propanoyl-CoA,C05983 + C00010 <=> C00020 + C00100,True,NZ_AEYC01000066.1:96373..98328 or complement(NZ_AEYC01000030.1:89420..91402),6.2.1.1         6.2.1.17,rn00640,
,R00927,Propanoyl-CoA + Acetyl-CoA = CoA + 2-Methylacetoacetyl-CoA,C00100 + C00024 <=> C00010 + C03344,False,complement(NZ_AEYC01000088.1:423760..424932) or complement(NZ_AEYC01000088.1:106778..107956) or NZ_AEYC01000076.1:69490..69840 or complement(NZ_AEYC01000072.1:37204..38487) or complement(NZ_AEYC01000066.1:38264..38869) or NZ_AEYC01000063.1:141962..143170 or NZ_AEYC01000018.1:27183..28394 or NZ_AEYC01000017.1:17231..18451 or complement(NZ_AEYC01000001.1:440887..441744) or NZ_AEYC01000001.1:220457..221695 or NZ_AEYC01000001.1:123218..124432,2.3.1.9         2.3.1.16,rn00280,
,R00935,(S)-Methylmalonate semialdehyde + CoA + NAD+ = Propanoyl-CoA + CO2 + NADH + H+,C06002 + C00010 + C00003 <=> C00100 + C00011 + C00004 + C00080,False,,1.2.1.27,rn00280  rn00640,2.8
,R00942,ATP + Tetrahydrofolate + L-Glutamate = ADP + Orthophosphate +Tetrahydrofolyl-[Glu](2),C00002 + C00101 + C00025 <=> C00008 + C00009 + C09332,False,,6.3.2.17,rn00790,
,R00943,Tetrahydrofolate + Formate + ATP = ADP + Orthophosphate +10-Formyltetrahydrofolate,C00101 + C00058 + C00002 <=> C00008 + C00009 + C00234,False,complement(NZ_AEYC01000005.1:47902..49599),6.3.4.3,not exist,0.4
,R00944,10-Formyltetrahydrofolate + H2O = Formate + Tetrahydrofolate,C00234 + C00001 <=> C00058 + C00101,False,purU,3.5.1.10,rn00630 rn00670,
,R00955,UDP-glucose + alpha-D-Galactose 1-phosphate = D-Glucose1-phosphate + UDP-D-galactose,C00029 + C00446 <=> C00103 + C00052,True,,2.7.7.12,rn00052  rn00520,0.0533
,R00962,ITP + Cytidine = IDP + CMP,C00081 + C00475 <=> C00104 + C00055,False,,2.7.1.48,rn00240,0.0028
,R00964,ATP + Uridine = ADP + UMP,C00002 + C00299 <=> C00008 + C00105,False,,2.7.1.48,rn00240,0.00118
,R00966,Uracil + 5-Phospho-alpha-D-ribose1-diphosphate = UMP + Diphosphate,C00106 + C00119 <=> C00105 + C00013,False,,2.4.2.9,rn00240,0.36
,R00967,UTP + Uridine = UDP + UMP,C00075 + C00299 <=> C00015 + C00105,False,,2.7.1.48,rn00240,0.00118
,R00968,GTP + Uridine = GDP + UMP,C00044 + C00299 <=> C00035 + C00105,False,,2.7.1.48,rn00240,0.00118
,R00970,ITP + Uridine = IDP + UMP,C00081 + C00299 <=> C00104 + C00105,False,,2.7.1.48,rn00240,0.00118
,R00974,Cytosine + H2O = Uracil + NH3,C00380 + C00001 <=> C00106 + C00014,False,,3.5.4.1,rn00240,0.0075
,R00982,ATP + Anthranilate + CoA = AMP + Diphosphate + Anthranilyl-CoA,C00002 + C00108 + C00010 <=> C00020 + C00013 + C02247,False,,6.2.1.32,rn00627,
,R00987,L-Kynurenine + H2O = Anthranilate + L-Alanine,C00328 + C00001 <=> C00108 + C00041,False,,3.7.1.3,rn00380,0.0058
,R00994,D-erythro-3-Methylmalate + NAD+ = 2-Oxobutanoate + CO2 + NADH + H+,C06032 + C00003 <=> C00109 + C00011 + C00004 + C00080,False,,1.1.1.85,rn00290,0.15
,R00996,L-Threonine = 2-Oxobutanoate + NH3,C00188 <=> C00109 + C00014,False,complement(NZ_AEYC01000017.1:9868..11079) or NZ_AEYC01000006.1:124335..125588,4.3.1.19,rn00260 rn00290,9.42
,R00997,1-Aminocyclopropane-1-carboxylate + H2O = 2-Oxobutanoate + NH3,C01234 + C00001 <=> C00109 + C00014,False,,3.5.99.7,rn00640,0.085
,R00999,O-Succinyl-L-homoserine + H2O = 2-Oxobutanoate + Succinate + NH3,C01118 + C00001 <=> C00109 + C00042 + C00014,False,,2.5.1.48,rn00270,0.15
,R01010,Glycerone phosphate + H2O = Glycerone + Orthophosphate,C00111 + C00001 <=> C00184 + C00009,False,,3.1.3.1         3.1.3.2,not exist,
,R01011,ATP + Glycerone = ADP + Glycerone phosphate,C00002 + C00184 <=> C00008 + C00111,False,,2.7.1.29,rn00680 rn00561,24.02
,R01030,sn-glycero-3-Phosphocholine + H2O = Choline + sn-Glycerol3-phosphate,C00670 + C00001 <=> C00114 + C00093,False,,3.1.4.2         3.1.4.46,rn00564,
,R01041,Glycerol + NADP+ = D-Glyceraldehyde + NADPH + H+,C00116 + C00006 <=> C00577 + C00005 + C00080,False,,1.1.1.2         1.1.1.21        1.1.1.72,rn00561,
,R01054,ADP-ribose + H2O = AMP + D-Ribose 5-phosphate,C00301 + C00001 <=> C00020 + C00117,False,ruvB,3.6.1.13        3.6.1.21        3.6.1.53        3.6.1.-,rn00230,
,R01064,2-Dehydro-3-deoxy-D-galactonate 6-phosphate = Pyruvate +D-Glyceraldehyde 3-phosphate,C01286 <=> C00022 + C00118,True,,4.1.2.21,rn00052 ,
